,Посилання,Ціна,Адреса,Кількість кімнат,Площа,Поверх
27,https://rieltor.ua/flats-rent/view/10788343/,10 000 грн/міс,"Каховська вул., 62а",1 кімната,36 / 17 / 17 м²,поверх 3 з 26
28,https://rieltor.ua/flats-rent/view/10782338/,30 000 грн/міс,"Євгена Коновальця вул. (Щорса), 36-В",4 кімнати,140 / 90 / 30 м²,поверх 14 з 26
29,https://rieltor.ua/flats-rent/view/10794995/,1 100 $/міс,"Драгомирова вул., 9",2 кімнати,85 / 30 / 25 м²,поверх 16 з 31
30,https://rieltor.ua/flats-rent/view/10796882/,800 $/міс,"Драгомирова вул., 12",2 кімнати,85 / 38 / 18 м²,поверх 3 з 19
31,https://rieltor.ua/flats-rent/view/10757459/,1 200 $/міс,"Драгомирова вул., 3",3 кімнати,90 / 62 / 20 м²,поверх 6 з 18
32,https://rieltor.ua/flats-rent/view/10792286/,20 000 грн/міс,"Саксаганського вул., 13/42",2 кімнати,55 / 20 / 15 м²,поверх 3 з 4
33,https://rieltor.ua/flats-rent/view/10795913/,17 000 грн/міс,"Глибочицька вул., 73",1 кімната,35 / 25 / 10 м²,поверх 20 з 25
34,https://rieltor.ua/flats-rent/view/10796234/,1 000 $/міс,"Василя Тютюнника вул. (Барбюса Анрі), 53",2 кімнати,86 / 55 / 15 м²,поверх 12 з 12
35,https://rieltor.ua/flats-rent/view/10797473/,20 000 грн/міс,"Лобановського просп., 144",2 кімнати,48 / 32 / 15 м²,поверх 23 з 25
36,https://rieltor.ua/flats-rent/view/10796267/,2 000 $/міс,"Драгомирова вул., 15а",3 кімнати,95 / 50 / 15 м²,поверх 3 з 16
37,https://rieltor.ua/flats-rent/view/10767187/,24 900 грн/міс,"Саксаганського вул., 7",2 кімнати,67 / 45 / 13 м²,поверх 7 з 9
38,https://rieltor.ua/flats-rent/view/10722009/,1 400 $/міс,"Джона Маккейна вул. (Кудрі Івана), 1",3 кімнати,85 / 50 / 14 м²,поверх 4 з 12
39,https://rieltor.ua/flats-rent/view/10790826/,900 $/міс,"Лабораторний пров., 7",3 кімнати,72 / 50 / 12 м²,поверх 12 з 20
